TCode,TCode Description
QS23,Change master insp. charac. version
QS24,Display master insp. charac. version
QS25,Delete Master Insp. Charc Version
QS26,Display Characteristic Use
QS27,Replace Master Insp. Characteristic
QS28,Display Inspection Charc List
QS29,Number Ranges for Characteristics
QS31,Create Inspection Method
QS32,Create Inspection Method Version
QS33,Change Inspection Method Version
QS34,Display Inspection Method Version
QS35,Delete Inspection Method Version
QS36,Display Inspection Method Use
QS37,Central Replacement of Methods
QS38,Display Inspection Method List
QS39,Number Ranges for Insp. Methods
QS41,Maintain catalog
QS41D,Document Assignment to Codes
QS41P,Maintain Catalog Code Parameters
QS41_EXT,Mapping for Code Groups and Codes
QS41_VM_QIR,Edit External Codes for QIR
QS42,Display catalog
QS42P,Display Catalog Code Parameters
QS42_VM_QIR,Display External Codes for QIR
QS43,Maintain catalog
QS44,Maintain catalog
QS46,Display Code Group Use
QS47,Central Replacement of Code Groups
QS48,Usage Indicator - Code Groups
QS49,Display Code Groups and Codes
QS4A,Display catalog
QS51,Edit Selected Sets
QS52,Display selected set index
QS53,Maintain Individual Selected Set
QS54,Maintain Selected Set
QS55,Display Selected Set
QS58,Usage Indicator - Selected Sets
QS59,Display Selected Sets
QS61,Maintain Material Specification
QS62,Display Material Specification
QS63,Maintain Material Spec: Planning
QS64,Display Material Spec: For Key Date
QS65,Activate material specification
QS66,Plan activation of material spec.
QS67,Job overview: Activate mat. spec.
QSFF,Customizing Template
QSR5,Archive Inspection Plans
QSR6,Delete Task Lists
QST01,Create Stability Study
QST03,Display Stability History
QST04,Display Inspection Plans
QST05,Graphical Scheduling Overview
QST06,Scheduling Overview (Stabil. Study)
QST07,Change Testing Schedule Items
QST08,Display Testing Schedule Items
QST09,Maintain Planning Building Block
QST10,Display Planning Building Block
QSUB,Define subsystems
QT00,Test Equipment Management
QT01,Test equipment management
QTSA,Product Allocations: Send Quantities
QTSP,Product Allocations:Send Customizing
QUERY_BP_FSBPBILDER,BP: Screen Customizing for Query
